date;T;RG;RH
2012-05-03;9;12.59;64.1
2012-05-04;12.3;16.91;66.9
2012-05-05;4.1;4.67;94.9
2012-05-06;4.2;25.57;58.9
2012-05-07;4.5;22.35;45.8
2012-05-08;5.8;28.28;43.7
2012-05-09;13.5;26.53;28.8
2012-05-10;9.6;23.95;48.6
2012-05-11;2.6;18.17;45.8
2012-05-12;7;28.99;40.3
2012-05-13;12.3;28.38;31.4
2012-05-14;15.7;28.91;20.8
2012-05-15;12.9;28.6;31.9
2012-05-16;18.6;24.87;27.6
2012-05-17;15.5;19.6;39.9
2012-05-18;11.4;12.64;72.1
2012-05-19;4.8;25.02;76.3
2012-05-20;9.9;25.73;47.9
2012-05-21;16.7;27.89;38
2012-05-22;14.2;15.83;43.6
2012-05-23;6.5;13.14;66.8
2012-05-24;3.9;9.5;82
2012-05-25;0.9;4.31;97.2
2012-05-26;5.6;9.17;99.8
2012-05-27;8.1;23.61;70.2
2012-05-28;4.5;19.08;73.6
2012-05-29;7;27.56;67.4
2012-05-30;7.6;16.39;73.5
2012-05-31;9.3;21.63;61.9
2012-06-01;10.8;22.26;70.2
2012-06-02;14.8;27.43;49.7
2012-06-03;15.8;28.74;60.1
2012-06-04;21.6;28.81;40.3
2012-06-05;21.3;23.09;34.9
2012-06-06;16.5;30.54;34.3
2012-06-07;10.9;10.77;75.7
2012-06-08;15.1;27.82;56.8
2012-06-09;12.8;29.42;64.6
2012-06-10;9.2;24.66;66
2012-06-11;9.6;18.2;76.9
2012-06-12;12.2;22.48;57.9
2012-06-13;15.8;28.54;41.4
2012-06-14;13.3;30.42;48.2
2012-06-15;16.7;28.35;51
2012-06-16;12.4;29.65;53
2012-06-17;19.2;27.66;37.1
2012-06-18;17.6;29.42;44.7
2012-06-19;12.4;21.95;66.2
2012-06-20;8.6;19.32;68.5
2012-06-21;13.1;30.21;51.8
2012-06-22;16.7;27.82;53.1
2012-06-23;22.2;29.42;57.6
2012-06-24;23.6;27.36;52.6
2012-06-26;26.2;29.98;22.2
2012-06-27;18.9;25.59;43
2012-06-28;20;31.06;31.8
2012-06-29;22.3;30.85;36.5
2012-06-30;21;29.44;39
2012-07-01;23.7;26.45;29.8
2012-07-02;20.7;27.71;46.2
2012-07-03;23.9;24.82;40.7
2012-07-04;19.2;29.59;39
2012-07-05;20.3;13.7;63.2
2012-07-06;13.5;5.22;99.1
2012-07-07;14;29.56;84.9
2012-07-08;16.1;28.82;72.9
2012-07-09;20.4;28.74;53.1
2012-07-10;22.3;29.45;38.4
2012-07-11;23.3;26.65;34.4
2012-07-12;20.4;26.04;43.1
2012-07-13;23.1;28.46;34.1
2012-07-14;25.5;22.19;30.3
2012-07-15;24.4;20.12;41.3
2012-07-16;22.9;28.69;49
2012-07-17;17.9;11.28;83.5
2012-07-18;22.5;28.92;42.5
2012-07-19;25.6;28.18;26.6
2012-07-20;23.7;21.92;42.1
2012-07-21;21.6;24.66;55.7
2012-07-22;24.3;19.03;42.1
2012-07-23;22.4;25.21;54.6
2012-07-24;21.5;23.39;55
2012-07-25;16.9;25.57;62.5
2012-07-26;16.8;28.57;54.4
2012-07-27;19.5;17.05;47.4
2012-07-28;21.7;28.64;41
2012-07-29;21;20.74;45.7
2012-07-30;20.8;24.97;47
2012-07-31;23.9;25.43;34.1
2012-08-01;20.7;24.36;47.4
2012-08-02;19.4;19.07;46.5
2012-08-03;13.4;8.51;69
2012-08-04;12.5;26.22;62
2012-08-05;18.1;27.9;38.3
2012-08-06;23.1;25.14;26.7
2012-08-07;21.5;24.4;28.8
2012-08-08;19.7;27.21;35.8
2012-08-09;21.1;13.61;41.7
2012-08-10;21.1;20.82;41.3
2012-08-11;14.2;11.67;87.2
2012-08-12;15.9;23.22;66.7
2012-08-13;17.3;23.28;53.4
2012-08-14;19.5;24.64;37.7
2012-08-15;13.8;6.02;72.8
2012-08-16;9.5;22.68;67.8
2012-08-17;14.6;25.87;47.2
2012-08-18;13.6;25.77;40.6
2012-08-19;14.1;25.73;40.2
2012-08-20;19.2;17.62;31.8
2012-08-21;19.5;25;27.1
2012-08-22;19.2;20.65;31.1
2012-08-23;20.7;20.7;29.9
2012-08-24;19.7;23.18;28
2012-08-25;13.3;23.75;33.7
2012-08-26;16.2;22.23;35.9
2012-08-27;23.7;22.3;26.8
2012-08-28;24.1;20.94;28.6
2012-08-29;25.5;20.79;21.8
2012-08-30;18.5;21.04;32
2012-08-31;22.6;15.17;34.1
2012-09-01;22.6;20.17;34
2012-09-02;18.3;22.33;41.5
2012-09-03;17.8;23.04;23.8
2012-09-04;15.1;21.51;24.8
2012-09-05;12.5;22.21;37
2012-09-07;10.6;19.93;60.8
2012-09-08;15.7;22.7;34.9
2012-09-09;20.4;22.37;19.5
2012-09-10;23.8;17.51;21.6
2012-09-11;12.5;16.24;36.7
2012-09-12;9;11.48;38.1
2012-09-13;11.8;21.33;46.2
2012-09-14;14.1;21.16;23.3
2012-09-15;18.6;18.18;15.1
2012-09-16;10.7;18.16;44
2012-09-17;6.6;15.99;54.5
2012-09-18;14.9;20.36;30.5
2012-09-19;10.4;19.16;37.7
2012-09-20;14.4;17.91;33.1
2012-09-21;11.8;19.55;41.4
2012-09-22;11;19.44;43.1
2012-09-23;13.1;16.74;35.5
2012-09-24;13.9;15.9;35.1
2012-09-25;13.4;17.25;31.7
2012-09-26;17.2;17.2;32
2012-09-27;13.2;9.24;48.5
2012-09-28;14.2;17.4;42.7
2012-09-29;17.1;17.13;36.6
2012-09-30;14;13.25;39.5
2012-10-01;9.2;17.71;51.3
2012-10-02;15.8;16.92;27.4
2012-10-03;3.7;3.89;81
2012-10-04;-2.5;9.15;92.3
2012-10-05;-3.2;6.81;88.7
2012-10-06;-4.9;16.19;74
2012-10-07;2;14.66;55.9
2012-10-08;2.5;3.58;75.9
2012-10-09;-1.2;4.81;92.5
2012-10-10;7.4;15.95;52.9
2012-10-11;1;5.87;90.7
2012-10-12;11.1;14.84;42.9
2012-10-13;10.6;11.73;45.5
2012-10-14;8.9;14.67;51.9
2012-10-15;12.5;12.26;37.4
2012-10-16;7.6;4.6;66.9
2012-10-17;0.4;7.85;60.2
2012-10-18;0.3;14.49;42.1
2012-10-19;8;12.04;33.2
2012-10-20;11;11.97;38.1
2012-10-21;3;3.27;90.1
2012-10-22;7.3;2.73;74.1
2012-10-23;4.8;3.47;89
2012-10-24;-1.2;0.93;94
2012-10-25;-7.7;1.96;92.2
2012-10-26;-6.7;6.93;89
2012-10-27;-2.6;11.43;69.1
2012-10-28;2.6;7.08;57.2
2012-10-29;10.3;6.97;49.3
2012-10-30;9.2;11.24;51.3
2012-10-31;9.9;10.9;44.5
2012-11-01;10.2;5.27;35.9
2012-11-02;3.5;9.8;77.2
2012-11-03;4.9;10.86;55.2
2012-11-04;3.6;2.02;60.2
2012-11-05;5.8;6.23;60.9
2012-11-06;4.4;9.67;57.7
2012-11-07;9.7;10.64;33.1
2012-11-08;0.3;9.36;73.9
2012-11-09;4.2;8.54;70.6
2012-11-10;-9.3;1.04;90
2012-11-11;-14.8;3.94;86.5
2012-11-12;-6.4;8.98;63.3
2012-11-13;-1;8.39;60.6
2012-11-14;1.4;8.18;54
2012-11-15;0.5;9.25;62.3
2012-11-16;6.3;8.86;35.9
2012-11-17;5.3;8.94;44.1
2012-11-18;5.6;7.82;56.4
2012-11-19;3.4;8.46;45.6
2012-11-20;7.6;7.24;45.1
2012-11-21;7.3;6.78;41.7
2012-11-22;-4.7;4.21;84.1
2012-11-23;-1.3;7.27;48.7
2012-11-24;3.9;5.74;48.3
2012-11-25;-3.4;2.26;90.5
2012-11-26;-7.7;8.76;84.5
2012-11-27;-1.4;7.66;30.4
2012-11-28;4.1;5.13;26.6
2012-11-29;3.4;6.8;51.1
2012-11-30;5.4;4.79;51.6
2012-12-01;5.3;6.66;50.7
2012-12-02;7.4;3.76;44.8
2012-12-03;1.2;7.81;53.4
2012-12-04;1.7;5.57;41.3
2012-12-05;4.6;4.16;57
2012-12-06;-3.2;2.24;58.1
2012-12-07;-6.7;2.57;88
2012-12-08;-11.5;2.84;76.8
2012-12-09;-17.5;7.56;76.8
2012-12-10;-9.9;2.11;86
2012-12-11;-5.2;4.89;67.4
2012-12-12;-0.6;4.58;56.5
2012-12-13;-0.1;5.99;54.6
2012-12-14;1.5;6.34;37.9
2012-12-15;-3.4;4.55;55.1
2012-12-16;-5.2;5.08;71.4
2012-12-17;-3.1;3.51;66.5
2012-12-18;-6.3;7.27;56
2012-12-19;-10.2;5.06;62.8
2012-12-20;-5.3;7.21;31
2012-12-21;1.5;7.36;22.6
2012-12-22;1.1;6.86;24
2012-12-23;-4.2;4.22;63.7
2012-12-24;-10.1;3.43;75.4
2012-12-25;-14.4;4.33;77.1
2012-12-26;-7.7;3.93;67
2012-12-27;-13.4;3.19;86
2012-12-28;-10.7;1.95;87.7
2012-12-29;-6.3;6.7;54.3
2012-12-30;-9.9;4.85;78.1
2012-12-31;-9.6;7.39;67.6
